dpi	Date	antibiotic plate	Pseudomonas strain	Code -80 label	for D36/DC3000 on leaf with:	OD6000 infiltrated 0dpi	Colony count 	dilution level 10^x 	R1 CFU/5 ul/ 3x4 mm	Pre-dilution factor	CFU/5 ul/ 3x4 mm no dilution	CFU/500ul/ 3x4mm discs	CFU/ml/ 3x4mm	CFU/ml/ 1cm^2					
0	1-3-2022	R	D36	MM0006	MM104_105	0.400	23	3	23000	1	23000	2300000	4600000	9583333					
0	1-3-2022	R	D36	MM0006	MM104_105	0.400	13	3	13000	1	13000	1300000	2600000	5416667					
0	1-3-2022	R	D36	MM0006	MM104_105	0.400	18	3	18000	1	18000	1800000	3600000	7500000					
0	1-3-2022	R	D36	MM0006	MM104_105	0.400	25	3	25000	1	25000	2500000	5000000	10416667					
0	1-3-2022	R	DC3000	MM0010	MM104_105	0.400	15	3	15000	1	15000	1500000	3000000	6250000					
0	1-3-2022	R	DC3000	MM0010	MM104_105	0.400	18	3	18000	1	18000	1800000	3600000	7500000					
0	1-3-2022	R	DC3000	MM0010	MM104_105	0.400	12	3	12000	1	12000	1200000	2400000	5000000					
0	1-3-2022	R	DC3000	MM0010	MM104_105	0.400	15	3	15000	1	15000	1500000	3000000	6250000					
0	1-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	22	3	22000	1	22000	2200000	4400000	9166667					
0	1-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	12	3	12000	1	12000	1200000	2400000	5000000					
0	1-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	15	3	15000	1	15000	1500000	3000000	6250000					
0	1-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	25	3	25000	1	25000	2500000	5000000	10416667					
0	1-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	22	3	22000	1	22000	2200000	4400000	9166667					
0	1-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	9	3	9000	1	9000	900000	1800000	3750000					
0	1-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	16	3	16000	1	16000	1600000	3200000	6666667					
0	1-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	5	3	5000	1	5000	500000	1000000	2083333					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	27	1	270	1	270	27000	54000	112500					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	22	1	220	1	220	22000	44000	91667					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	0	0	0	1	0	0	0	0					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	15	1	150	1	150	15000	30000	62500					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	13	2	1300	1	1300	130000	260000	541667					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	27	1	270	1	270	27000	54000	112500					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	23	1	230	1	230	23000	46000	95833					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	18	1	180	1	180	18000	36000	75000					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	15	1	150	1	150	15000	30000	62500					
2	3-3-2022	R	D36	MM0006	MM104_105	0.400	9	1	90	1	90	9000	18000	37500					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	10	4	100000	1	100000	10000000	20000000	41666667					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	5	4	50000	1	50000	5000000	10000000	20833333					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	11	4	110000	1	110000	11000000	22000000	45833333					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	5	4	50000	1	50000	5000000	10000000	20833333					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	4	4	40000	1	40000	4000000	8000000	16666667					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	6	4	60000	1	60000	6000000	12000000	25000000					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	41	3	41000	1	41000	4100000	8200000	17083333					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	26	3	26000	1	26000	2600000	5200000	10833333					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	8	4	80000	1	80000	8000000	16000000	33333333					
2	3-3-2022	R	DC3000	MM0010	MM104_105	0.400	30	2	3000	1	3000	300000	600000	1250000					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	4	2	400	1	400	40000	80000	166667					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	25	1	250	1	250	25000	50000	104167					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	3	1	30	1	30	3000	6000	12500					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	19	1	190	1	190	19000	38000	79167					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	15	1	150	1	150	15000	30000	62500					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	24	1	240	1	240	24000	48000	100000					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	4	2	400	1	400	40000	80000	166667					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	22	1	220	1	220	22000	44000	91667					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	14	1	140	1	140	14000	28000	58333					
2	3-3-2022	R	D36+HopA1	MM0104	MM104_105	0.400	8	1	80	1	80	8000	16000	33333					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	15	1	150	1	150	15000	30000	62500					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	25	1	250	1	250	25000	50000	104167					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	0	0	0	1	0	0	0	0					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	0	0	0	1	0	0	0	0					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	20	1	200	1	200	20000	40000	83333					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	4	2	400	1	400	40000	80000	166667					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	8	2	800	1	800	80000	160000	333333					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	25	1	250	1	250	25000	50000	104167					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	17	0	17	1	17	1700	3400	7083					
2	3-3-2022	R	D36+HopB1	MM0105	MM104_105	0.400	13	1	130	1	130	13000	26000	54167					
0	14-3-2022	R	D36	MM0006	MM107_108	0.400	10	3	10000	1	10000	1000000	2000000	4166667					
0	14-3-2022	R	D36	MM0006	MM107_108	0.400	13	3	13000	1	13000	1300000	2600000	5416667					
0	14-3-2022	R	D36	MM0006	MM107_108	0.400	8	3	8000	1	8000	800000	1600000	3333333					
0	14-3-2022	R	DC3000	MM0010	MM107_108	0.400	18	3	18000	1	18000	1800000	3600000	7500000					
0	14-3-2022	R	DC3000	MM0010	MM107_108	0.400	10	3	10000	1	10000	1000000	2000000	4166667					
0	14-3-2022	R	DC3000	MM0010	MM107_108	0.400	11	3	11000	1	11000	1100000	2200000	4583333					
0	14-3-2022	R	D36	MM0006	MM109_110	0.400	15	3	15000	1	15000	1500000	3000000	6250000					
0	14-3-2022	R	D36	MM0006	MM109_110	0.400	21	3	21000	1	21000	2100000	4200000	8750000					
0	14-3-2022	R	D36	MM0006	MM109_110	0.400	16	3	16000	1	16000	1600000	3200000	6666667					
0	14-3-2022	R	DC3000	MM0010	MM109_110	0.400	14	3	14000	1	14000	1400000	2800000	5833333					
0	14-3-2022	R	DC3000	MM0010	MM109_110	0.400	12	3	12000	1	12000	1200000	2400000	5000000					
0	14-3-2022	R	DC3000	MM0010	MM109_110	0.400	9	3	9000	1	9000	900000	1800000	3750000					
0	14-3-2022	R	D36+HopD1	MM0007	MM107_109	0.400	12	3	12000	1	12000	1200000	2400000	5000000					
0	14-3-2022	R	D36+HopD1	MM0007	MM109_110	0.400	17	3	12000	1	12000	1200000	2400000	5000000					
0	14-3-2022	R	D36+HopD1	MM0007	MM109_110	0.400	10	3	17000	1	17000	1700000	3400000	7083333					
0	14-3-2022	R	D36+HopE1	MM0008	MM109_110	0.400	7	3	10000	1	10000	1000000	2000000	4166667					
0	14-3-2022	R	D36+HopE1	MM0008	MM109_110	0.400	5	3	5000	1	5000	500000	1000000	2083333					
0	14-3-2022	R	D36+HopE1	MM0008	MM109_110	0.400	9	3	9000	1	9000	900000	1800000	3750000					
0	14-3-2022	R	D36+HopF2	MM0009	MM109_110	0.400	9	3	9000	1	9000	900000	1800000	3750000					
0	14-3-2022	R	D36+HopF2	MM0009	MM107_110	0.400	22	3	22000	1	22000	2200000	4400000	9166667					
0	14-3-2022	R	D36+HopF2	MM0009	MM109_110	0.400	11	3	11000	1	11000	1100000	2200000	4583333					
0	14-3-2022	R	D36+HopG1	MM0010	MM109_110	0.400	17	3	17000	1	17000	1700000	3400000	7083333					
0	14-3-2022	R	D36+HopG1	MM0010	MM109_110	0.400	16	3	16000	1	16000	1600000	3200000	6666667					
